Utility Characteristics,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
2013,57933,Solar Star California II LLC,58101,Solar Star California II LLC,CA,BANC,.,.,.,.,.,.,301.0,"4,735",1,.,.,.,301.0,"4,735",1
2013,57770,South Bay Fuel Cell Plant,57047,BioFuels Point Loma LLC,CA,CISO,.,.,.,933.0,"8,803",1,.,.,.,.,.,.,933.0,"8,803",1
2013,57683,"Staples La Mirada, CA",57007,"SunE WF3-ST Holdings, LLC",CA,CISO,.,.,.,238.0,"1,822",1,.,.,.,.,.,.,238.0,"1,822",1
2013,54149,Stony Brook Cogen Plant,13587,Nissequoque Cogen Partners,NY,NYIS,.,.,.,.,.,.,"23,895.0","230,341",1,.,.,.,"23,895.0","230,341",1
2013,59015,Stow PV,58863,Main Street Power,MA,ISNE,.,.,.,2.0,30,1,.,.,.,.,.,.,2.0,30,1
2013,58839,Sudbury Landfill,58721,Solar Sudbury One LF LLC,MA,ISNE,.,.,.,198.0,"1,975",1,.,.,.,.,.,.,198.0,"1,975",1
2013,57010,SunEdison Anheuser Busch Fairfield,56434,SunE M5 Holdings LLC,CA,CISO,.,.,.,259.0,"2,201",1,.,.,.,.,.,.,259.0,"2,201",1
2013,57007,SunEdison Ironwood State Prison,56297,SunE CPA CDC2 LLC,CA,CISO,.,.,.,238.0,"2,266",1,.,.,.,.,.,.,238.0,"2,266",1
2013,57008,SunEdison Procter & Gamble Oxnard,56431,SunE U6 Holdings LLC,CA,CISO,.,.,.,252.0,"1,838",1,.,.,.,.,.,.,252.0,"1,838",1
2013,57004,SunEdison Walgreens Moreno Valley,56294,SunE WG113 Moreno Valley LLC,CA,CISO,.,.,.,197.0,"1,855",1,.,.,.,.,.,.,197.0,"1,855",1
2013,57012,SunEdison Walmart Apple Valley DC,56434,SunE M5 Holdings LLC,CA,CISO,.,.,.,313.0,"2,619",1,.,.,.,.,.,.,313.0,"2,619",1
2013,57594,Teichert Materials-Teichert Vernalis,56930,"Foundation HA Energy Generation, LLC",CA,CISO,.,.,.,.,.,.,71.0,"1,114",1,.,.,.,71.0,"1,114",1
2013,58356,The Lawrenceville School Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,.,.,.,668.0,"8,913",1,.,.,.,.,.,.,668.0,"8,913",1
2013,57647,"Toys R Us- DE, Inc. at Mt. Olive, NJ",56976,"Constellation Solar New Jersey II, LLC",NJ,PJM,.,.,.,364.0,"5,135",1,.,.,.,.,.,.,364.0,"5,135",1
2013,557,Tunnel,54895,FirstLight Power Resources Services LLC,CT,ISNE,.,.,.,.,.,.,"1,578.0","8,723",1,.,.,.,"1,578.0","8,723",1
2013,57735,UCSD Fuel Cell Plant,57047,BioFuels Point Loma LLC,CA,CISO,.,.,.,"2,516.0","17,432",1,.,.,.,.,.,.,"2,516.0","17,432",1
2013,57420,UTS SJ1 LLC,56749,UTS SJ1 LLC,CA,CISO,.,.,.,.,.,.,"1,259.0","10,770",1,.,.,.,"1,259.0","10,770",1
2013,58516,Union HS at Casa Grande,58491,"Constellation NewEnergy, Inc",AZ,AZPS,.,.,.,604.0,"3,364",1,.,.,.,.,.,.,604.0,"3,364",1
2013,58040,United Stationers Supply Solar Electric,57411,KDC Solar O&M LLC,NJ,PJM,.,.,.,246.0,"4,103",1,.,.,.,.,.,.,246.0,"4,103",1
2013,54780,University of Illinois Abbott Power Plt,19528,University of Illinois,IL,MISO,133.0,929,236,"16,326.0","16,326",65,0.0,0,0,0.0,0,0,"16,459.0","17,255",301
2013,52108,Valero Energy Port Arthur Refinery,50163,Valero Energy Corporation,TX,MISO,.,.,.,.,.,.,810.0,"18,238",2,.,.,.,810.0,"18,238",2
2013,58517,Vista Grande HS at Casa Grande,58491,"Constellation NewEnergy, Inc",AZ,AZPS,.,.,.,555.0,"3,072",1,.,.,.,.,.,.,555.0,"3,072",1
2013,58401,Volkswagen Solar System,58385,SR Enterprise South LLC,TN,TVA,0.0,0,0,0.0,0,0,"1,332.0","13,302",1,0.0,0,0,"1,332.0","13,302",1
2013,50210,Vulcan-BN Geothermal Power Company,49899,CalEnergy Operating Corporation,CA,IID,.,.,.,"16,434.0","281,180",1,.,.,.,.,.,.,"16,434.0","281,180",1
2013,56922,WWRF Solar Plant,56431,SunE U6 Holdings LLC,CO,PSCO,.,.,.,.,.,.,140.0,"2,922",1,.,.,.,140.0,"2,922",1
2013,58123,Wakefern Food Corp,56990,NJR Clean Energy Ventures Corporation,NJ,PJM,.,.,.,205.0,"2,976",1,.,.,.,.,.,.,205.0,"2,976",1
2013,57006,Walgreens Woodland Distribution Center,56296,SunE WG45 Woodland LLC,CA,CISO,.,.,.,312.0,"1,544",1,.,.,.,.,.,.,312.0,"1,544",1
2013,50077,Waste Energy Services,5677,Waste Energy Services Inc,MI,MISO,.,.,.,.,.,.,44.0,408,1,.,.,.,44.0,408,1
2013,50216,Watson Cogeneration,867,ARCO Products Co-Watson,CA,CISO,0.0,0,0,0.0,0,0,"35,966.0","690,496",1,0.0,0,0,"35,966.0","690,496",1
2013,58357,White Rose Foods Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,.,.,.,618.0,"6,093",1,.,.,.,.,.,.,618.0,"6,093",1
2013,57102,Whittier LFG Power Plant #1,56395,J&A-Whittier LLC,CA,CISO,.,.,.,"1,014.0","9,722",1,.,.,.,.,.,.,"1,014.0","9,722",1
2013,57805,William Paterson University,57124,Nautilus Solar WPU LLC,NJ,PJM,.,.,.,221.0,"1,736",1,.,.,.,.,.,.,221.0,"1,736",1
2013,58361,Williams-Sonoma Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,.,.,.,511.0,"4,557",1,.,.,.,.,.,.,511.0,"4,557",1
2013,58145,Williamstown Solar,57354,Gestamp Asetym Solar North America,VT,ISNE,.,.,.,.,.,.,768.0,"2,562",1,.,.,.,768.0,"2,562",1
